story_qn,answer_text
Why do I see action items?,"The **Action Items** alert you about employees and teams that need your attention so that you can focus on what is important.

You can easily make the necessary changes to resolve action items.

Once an action item is resolved, it disappears from the screen."
Why do I have action items?,
Why do I get an error that an 'Employee is overbooked'?,"If an employee has multiple assignments for a particular time duration, this may lead to **overbooking** (i.e. the total percentage of assignments is greater than 100%).

If you see the error message **Employee is overbooked**, click on the link (**Click here to see all assignments**) in the error banner. This will help you identify the overbooked periods."
How do I solve the overbooking error for employee assignment?,
How can I resolve the error 'employee is overbooked'?,
Why do I get an error while assigning an FTE to an employee?,The employee may be **overbooked** i.e. the total percentage of assignments is greater than 100%.
Why do I get an error while assigning an activity role to an employee?,
How can I assign a role to an employee?,"You can assign a role to an employee by following these easy steps:

1. Go to the **Employees** tab.
2. Under the **Assignment Duration** column for the chosen employee, click on **+**.
3. In the newly created row, enter the [**role**](https://jam4.sapjam.com/groups/uH5dGdf6wJ0S9zC44tHNKb/documents/gXIJTwu0M2zp8ZJPB0u2SU) and **role percentage**."
How can I remove a portfolio item from a team?,"You **cannot** remove a portfolio item from a team.

However, you can set the percentage allocation of a portfolio item to zero!"
end portfolio item assignment,
How can I assign teams to a portfolio item?,"You **cannot** assign teams to a portfolio item.

However, you can assign portfolio items to a team!"
How can I create a substitute?,"You can create a substitute by following these easy steps:

1. Click on the **Profile** icon.
2. Click on **My substitutes** from the drop-down menu.
3. Enter the name of your substitute.
4. Click on **Set Substitute**.
5. Click on **Save**.

And you are all set! 😊"
How can I create a delegate for myself?,
How can I assign someone as my substitute?,
add substitute,
How can I delete an employee from a team?,"To delete an employee from a team, delete all present and future assignments of that employee.

Isn't that simple? 😊"
Which teams do I see in the Action Items screen?,"In the **Action Items** screen, you see the following:

- Teams for which you are the **team responsible**.
- Teams which your employees are staffed to."
teams in action items,
How can I see changes made by me?,"The **Change Log** can help you with this!

It tracks all changes made to teams and employees by you and your substitutes.

To get started, click on the **Change Log** in the navigation bar.

That’s it!"
How can I see changes made by my substitutes?,
Why do I not see some of my direct reports in the Employee section?,"Lucid Capacity relies on data from external systems (e.g. HR) to derive information about your direct reports.

If there are issues with the HR data sync, some of your direct reports may not appear in Lucid Capacity.

If this happens, raise an [**IT-direct ticket**](https://itdirect.wdf.sap.corp/sap/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=Lucid: ) and we will help you in fixing this!"
Why are some of my employees missing? ,
Why are some of my employees not displayed in the Employees section? ,
Why are my direct reports missing in Lucid?,
missing employee,
What is NN Placeholder staffing?,NN Staffing is a placeholder for an employee who is expected to join your team in the future.
How can I get help to use Lucid Capacity?,"Help will always be given in Lucid Capacity to those who ask for it!

We have multiple help channels for Lucid Capacity: 

- **Tobi**: that’s me! 😎
- **In-application Help**:
  - **How it Works** helps you to understand Lucid Capacity by providing text, animations, and videos.
  - **Info icon texts** explain the purpose and meaning of fields.
  - **Help** menu provides a quick and easy way to get help.
- [**Report** **a bug**](https://itdirect.wdf.sap.corp/sap(bD1lbiZjPTAwMSZkPW1pbg==)/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=Lucid%3a )
- [**Create a feature request**](https://itdirect.wdf.sap.corp/sap/bc/bsp/sap/crm_ui_start/default.htm?crm-object-type=AIC_OB_INCIDENT&crm-object-action=D&PROCESS_TYPE=ZINE&CAT_ID=IMFIT_TOOLS_LUCID&description=[FR]Lucid: )
- [**Email us**](mailto:DL%20Lucid%20Capacity?subject=Lucid%20Capacity:%20Hello!) to ask a question."
how can i get support,
support,
How can I get authorizations to use Lucid Capacity?,"All Line Managers automatically have access to Lucid Capacity.

Managers can also allow other employees to access Lucid Capacity on their behalf by adding them as their substitutes.

C-users can ask an SAP employee to request access for them via [**ARM**](https://uap.wdf.sap.corp/sap/bc/webdynpro/sap/yupa_extend_auth?pa_mandt=001&pa_system=IFP&pa_profile=0000_IFP_CP_LUCID_C_USER_ACCES)."
Is there a value help to search for portfolio items?,"Yes, Lucid Capacity is designed to help you!

Click on the **value help icon** and search for a portfolio item.

Smooth!"
How can I allocate a portfolio item to a team?,"Allocating a portfolio item to a team is easy using these steps!

1. Go to the **Teams** tab.
2. Find your team and expand it.
3. Switch to the **Portfolio Items** subtab.
4. Click on **Add Portfolio Item** to add one or more portfolio items.
5. Start typing the portfolio item name to search for it.
6. Choose from the relevant suggestions or click on the help icon.
7. To allocate the portfolio items, click on the percentage column and enter the percentage value.
8. To allocate the same percentage value to future months, click on the **Overwrite future months** (right arrow).

Isn’t it easy? 😊"
How can I assign a team to a portfolio item?,
How can I add a portfolio item to a team?,"Adding a portfolio item to a team is easy using these steps!

1. Go to the **Teams** tab.
2. Find your team and expand it.
3. Switch to the **Portfolio Items** subtab.
4. Click on **Add Portfolio Item**.
5. Start typing the portfolio item name to search for it.
6. Choose from the relevant suggestions or click on the help icon.
7. To allocate the portfolio items, click on the percentage column and enter the percentage value.

And you’re done!"
How can I staff a consultant to my team?,"Adding consultants to your team is easy using these steps!

1. Go to the **Teams** tab.
2. Expand the team to which you would like to staff the consultant.
3. Click on **Add Employee**.
4. Search for the consultant.
5. Add the consultant to the team."
How can I add an employee to my team?,"Adding employees to your team is easy using these steps! 

1. Go to the **Teams** tab.
2. Expand the team to which you would like to staff the employee.
3. Click on **Add Employee**.
4. Search for the employee.
5. Add the employee to the team."
How can I assign employees to a team?,
How can I add a team?,"You can easily add an existing team by following these steps!

1. Go to the **Teams** tab.
2. Click on **Create or Add Team.**
3. Click on **Add Team.**
4. Search for any existing team with the team name.
5. Add it to your team view.

Simple, isn't it? 😊"
Can I view other teams?,
How can I add a team staffed by another manager to my team view?,
How can I add a team created by another manager to my team view? ,
How can I add an existing team?,
I am the manager but I can't see my team,
How to find available Team?,
What is Lucid Capacity?,"Lucid Capacity is an internal tool for **simplified capacity management** in SAP development.

It is meant to be used by **line managers** and their **substitutes**.

Welcome to Lucid Capacity! 😊"
Tell me about Lucid Capacity,
Lucid Capacity,
How to add my pipeline to my Sirius delivery? ,Please take a look at out friendly [guide](https://wiki.wdf.sap.corp/wiki/display/DevFw/Add+Pipelines+to+your+Sirius+Deliveries). 😊
I want to add a pipeline,
How can i assign my pipeline to my Sirius delivery?,
What is Cumulus?,"Cumulus, a new service for release visibility and compliant data storage that can be used by CI/CD pipelines to upload their automation results. Cumulus is a project to store release-relevant data out of CI/CD pipelines in a compliant way, and use results in Sirius and further tools. ☁️"
